Date,Portfolio,Equities,Bonds,REITs,Stress,Asset_Equities,Asset_Bonds,Asset_REITs,Asset_Stress
2020-10-01,14294.475879727586,3522.79290855962,3593.041615994314,3598.862538371468,3579.7788168021834,SPY,VCIT,BIL,GLD
2020-11-01,14560.963174186312,3962.3455795830614,3645.0531031808387,3573.2292048672366,3380.335286555176,SPY,VCIT,BIL,GLD
2020-12-01,14941.681837230257,3759.0824535314264,3646.7963576462107,3640.240793546578,3895.5622325060413,SPY,VCIT,BIL,GLD
2021-01-01,14788.115128131498,3713.115762638924,3724.45929386183,3735.5427316745922,3614.997339956151,SPY,VCIT,BIL,GLD
2021-02-01,14763.69076653849,3799.826304445518,3674.497574665416,3823.6568122320937,3465.710075195462,SPY,HYG,VNQ,GLD
2021-03-01,15081.152283658466,3845.8917712478005,3736.1832726057273,3850.353258331257,3648.7239814736818,SPY,HYG,REM,GLD
2021-04-01,15593.674000359933,3884.4114616713755,3795.011126932393,4009.6133183596844,3904.638093396481,VXUS,HYG,REM,GLD
2021-05-01,16027.042311556821,4018.2024150621714,3899.9788046032427,3911.107284643646,4197.753807247762,VXUS,HYG,REM,GLD
2021-06-01,16169.925594772096,4083.263391107213,4059.9350596400286,4020.841691220003,4005.88545280485,SPY,HYG,REM,BIL
2021-07-01,16244.266755695659,4154.716974458727,4046.8064079926235,4000.7039170998955,4042.0394561444123,SPY,HYG,REM,BIL
2021-08-01,16497.545704032906,4181.9231656189195,4086.1768323041147,4168.823040106081,4060.6226660037883,SPY,HYG,REM,BIL
2021-09-01,16171.760567537802,3919.6101949043605,4109.5342722708265,4017.7786789639676,4124.837421398648,SPY,HYG,REM,BIL
2021-10-01,16629.20994495983,4340.468719764643,4029.641968202291,4216.6011561349105,4042.49810085799,SPY,HYG,REM,BIL
2021-11-01,16459.088157004033,4123.898351453298,4109.18449875885,4069.6124035636335,4156.392903228252,SPY,HYG,VNQ,BIL
2021-12-01,17070.859531252147,4289.999887705464,4193.9616573866415,4472.125946909033,4114.772039251008,SPY,HYG,VNQ,BIL
2022-01-01,16451.961293909902,4056.833367125586,4182.398431864567,3945.0146121067132,4267.714882813037,SPY,HYG,VNQ,BIL
2022-02-01,16389.084342006434,3991.5871712048183,4062.9729410593777,3969.747919615752,4364.776310126485,SPY,HYG,VNQ,GLD
2022-03-01,16815.926095005114,4238.122688462486,4098.166762108408,4330.22540815599,4149.411236278229,SPY,BIL,VNQ,GLD
2022-04-01,16222.590646201097,3846.9158727288022,4204.534875643328,4054.1932502223954,4116.946647606571,SPY,BIL,VNQ,GLD
2022-05-01,16036.557713114515,4056.9778303024386,4056.9778303024386,3865.6242222071987,4056.9778303024386,BIL,BIL,VNQ,BIL
2022-06-01,15979.03430356875,4010.8921999521694,4010.8921999521694,4010.8921999521694,3946.3577037122413,BIL,BIL,BIL,GLD
2022-07-01,15980.96181564613,3995.2404539115323,3995.2404539115323,3995.2404539115323,3995.2404539115323,BIL,BIL,BIL,BIL
2022-08-01,16004.211390734765,4001.052847683691,4001.052847683691,4001.052847683691,4001.052847683691,BIL,BIL,BIL,BIL
2022-09-01,16029.952369669298,4007.4880924173244,4007.4880924173244,4007.4880924173244,4007.4880924173244,BIL,BIL,BIL,BIL
2022-10-01,16052.571534925568,4013.142883731392,4013.142883731392,4013.142883731392,4013.142883731392,BIL,BIL,BIL,BIL
2022-11-01,16093.823316929835,4023.4558292324587,4023.4558292324587,4023.4558292324587,4023.4558292324587,BIL,BIL,BIL,BIL
2022-12-01,16095.268573044325,4023.817143261081,4023.817143261081,4023.817143261081,4023.817143261081,BIL,BIL,BIL,BIL
2023-01-01,16431.782180628798,4058.7410164983758,4058.7410164983758,4058.7410164983758,4255.559131133672,BIL,BIL,BIL,GLD
2023-02-01,16428.20021285365,4107.050053213413,4107.050053213413,4107.050053213413,4107.050053213413,BIL,BIL,BIL,BIL
2023-03-01,16508.37753511666,4127.094383779165,4127.094383779165,4127.094383779165,4127.094383779165,BIL,BIL,BIL,BIL
2023-04-01,16650.863081865813,4214.582795355823,4136.797905410108,4136.797905410108,4162.684475689773,VXUS,BIL,BIL,GLD
2023-05-01,16647.169258877213,4181.931194100396,4179.1927411899105,4179.1927411899105,4106.852582396998,SPY,BIL,BIL,GLD
2023-06-01,16898.57726268247,4415.076273376064,4234.018377711733,4180.13912804189,4069.3434835527833,SPY,HYG,BIL,GLD
2023-07-01,17182.20535826272,4379.136599418491,4240.868259814226,4240.868259814226,4321.332239215777,SPY,BIL,BIL,GLD
2023-08-01,17088.443992764114,4225.740123177798,4306.14913001525,4315.890387400911,4240.664352170155,SPY,HYG,BIL,GLD
2023-09-01,16285.889143982273,4055.16144658379,4203.51395172634,3958.480270397735,4068.7334752744077,SPY,HYG,REM,GLD
2023-10-01,16443.374876645106,3955.4999981461874,4026.7344437675706,4089.502455379189,4371.637979352159,VXUS,HYG,BIL,GLD
2023-11-01,17141.935645587735,4486.343906831306,4311.228873777252,4129.458375723204,4214.904489255974,SPY,HYG,BIL,GLD
2023-12-01,17657.184417952954,4463.044079966847,4404.1259520853,4449.58550380917,4340.428882091636,SPY,HYG,REM,GLD
2024-01-01,17912.316751509235,4502.782226552035,4461.521132982641,4474.00669598728,4474.00669598728,SPY,HYG,BIL,BIL
2024-02-01,18157.780930642315,4711.776652657482,4469.409972821127,4478.079187877309,4498.515117286396,SPY,HYG,BIL,GLD
2024-03-01,18914.28899836987,4673.373255431215,4585.653701813173,4722.322994865076,4932.939046260406,SPY,HYG,REM,GLD
2024-04-01,18554.099460077516,4552.01752386353,4667.408425753308,4464.740720806382,4869.932789654298,SPY,HYG,REM,GLD
2024-05-01,19076.94760574198,4873.139338725467,4713.550492574809,4776.638854301789,4713.618920139917,SPY,HYG,REM,GLD
2024-06-01,19266.823846242543,4921.618890381399,4794.996508385811,4787.395695759152,4762.812751716182,SPY,HYG,BIL,GLD
2024-07-01,20156.7319431181,4890.759379871778,4926.991538320891,5263.752997531157,5075.2280273942715,SPY,HYG,VNQ,GLD
2024-08-01,20721.18166676521,5156.926598116572,5117.3786930501465,5302.261132833445,5144.615242765047,SPY,HYG,VNQ,GLD
2024-09-01,21292.265379993067,5272.932391894577,5270.423078514921,5304.996952328646,5443.912957254922,SPY,HYG,VNQ,GLD
2024-10-01,21277.558044789308,5291.747428130195,5246.169884863863,5187.717200837732,5551.92353095752,SPY,HYG,VNQ,GLD
2024-11-01,21741.897200550855,5636.602712731948,5406.138703851075,5545.951259956298,5153.204524011531,SPY,HYG,VNQ,GLD
2024-12-01,21449.676854685124,5286.901808264349,5367.8729367074575,5436.005418245373,5358.896691467944,SPY,HYG,BIL,GLD
2025-01-01,22243.180696461055,5524.9673469217405,5488.272872144979,5503.648523342411,5726.291954051925,SPY,HYG,VNQ,GLD
2025-02-01,22627.981599291474,5490.202039529883,5589.393814958307,5886.293780771446,5662.091964031837,SPY,HYG,REM,GLD
2025-03-01,22566.45130671821,5325.770975561811,5594.7194729059,5454.57252919011,6191.388329060389,SPY,HYG,VNQ,GLD
2025-04-01,22989.766997833765,5818.880925551792,5662.80284269472,5560.444653699751,5947.638575887506,VXUS,VCIT,VNQ,GLD
2025-05-01,23303.225240488977,5874.342312996527,5798.376703709952,5824.221811473074,5806.284412309421,VXUS,HYG,VNQ,GLD
